Package,Version,Ecosystem
@antv/g-plugin-canvas-renderer,= 2.6.1 || = 2.7.1,npm
@antv/g-plugin-control,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-css-select,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-device-renderer,= 2.7.1 || = 2.8.1,npm
@antv/g-plugin-dom-interaction,= 2.2.31 || = 2.3.31,npm
@antv/g-plugin-dragndrop,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-gesture,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-gpgpu,= 1.10.20 || = 1.11.20,npm
@antv/g-plugin-html-renderer,= 2.4.1 || = 2.5.1,npm
@antv/g-plugin-image-loader,= 2.4.1 || = 2.5.1,npm
@antv/g-plugin-matterjs,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-mobile-interaction,= 1.1.42 || = 1.2.42,npm
@antv/g-plugin-physx,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-rough-canvas-renderer,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-rough-svg-renderer,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-svg-picker,= 2.1.46 || = 2.2.46,npm
@antv/g-plugin-svg-renderer,= 2.5.1 || = 2.6.1,npm
@antv/g-plugin-webgl-device,= 1.10.17 || = 1.11.17,npm
@antv/g-plugin-webgl-renderer,= 1.1.26 || = 1.2.26,npm
@antv/g-plugin-webgpu-device,= 1.10.17 || = 1.11.17,npm
@antv/g-plugin-yoga,= 2.4.1 || = 2.5.1,npm
@antv/g-plugin-zdog-canvas-renderer,= 2.2.1 || = 2.3.1,npm
@antv/g-plugin-zdog-svg-renderer,= 2.2.1 || = 2.3.1,npm
@antv/g-shader-components,= 2.1.0 || = 2.2.0,npm
@antv/g-svg,= 2.2.1 || = 2.3.1,npm
@antv/g-web-animations-api,= 2.2.32 || = 2.3.32,npm
@antv/g-web-components,= 2.2.1 || = 2.3.1,npm
@antv/g-webgl,= 2.2.1 || = 2.3.1,npm
@antv/g-webgl-compute,= 0.1.1 || = 0.2.1,npm
@antv/g-webgpu,= 2.2.1 || = 2.3.1,npm
@antv/g-webgpu-compiler,= 0.8.2 || = 0.9.2,npm
@antv/g-webgpu-core,= 0.8.2 || = 0.9.2,npm
@antv/g-webgpu-engine,= 0.8.2 || = 0.9.2,npm
@antv/g-webgpu-raytracer,= 0.6.1 || = 0.7.1,npm
@antv/g-webgpu-unitchart,= 0.6.1 || = 0.7.1,npm
@antv/g2,= 5.5.8 || = 5.6.8,npm
@antv/g2-brush,= 0.1.2 || = 0.2.2,npm
@antv/g2-extension-3d,= 0.3.0 || = 0.4.0,npm
@antv/g2-extension-ava,= 0.3.0 || = 0.4.0,npm
@antv/g2-extension-plot,= 0.3.2 || = 0.4.2,npm
@antv/g2-plugin-slider,= 2.2.1 || = 2.3.1,npm
@antv/g2-ssr,= 0.3.0 || = 0.4.0,npm
@antv/g2plot,= 2.5.35 || = 2.6.35,npm
@antv/g2plot-schemas,= 1.3.2 || = 1.4.2,npm
@antv/g6,= 5.2.1 || = 5.3.1,npm
@antv/g6-alipay,= 0.1.1 || = 0.2.1,npm
@antv/g6-cli,= 0.1.4 || = 0.2.4,npm
@antv/g6-core,= 0.9.24 || = 0.10.24,npm
@antv/g6-editor,= 1.3.0 || = 1.4.0,npm
@antv/g6-element,= 0.9.25 || = 0.10.25,npm
@antv/g6-extension-3d,= 0.2.23 || = 0.3.23,npm
@antv/g6-extension-react,= 0.3.7 || = 0.4.7,npm
@antv/g6-mobile,= 0.2.2 || = 0.3.2,npm
@antv/g6-pc,= 0.9.25 || = 0.10.25,npm
@antv/g6-plugin,= 0.9.25 || = 0.10.25,npm
@antv/g6-plugin-map-view,= 0.1.4 || = 0.2.4,npm
@antv/g6-plugins,= 1.1.9 || = 1.2.9,npm
@antv/g6-react-node,= 1.5.8 || = 1.6.8,npm
@antv/g6-ssr,= 0.2.1 || = 0.3.1,npm
@antv/g6-wx,= 0.1.1 || = 0.2.1,npm
@antv/gatsby-theme,= 0.2.0 || = 0.3.0,npm
@antv/geo-coord,= 1.1.8 || = 1.2.8,npm
@antv/gi-assets-advance,= 2.6.22 || = 2.7.22,npm
@antv/gi-assets-algorithm,= 2.4.19 || = 2.5.19,npm
@antv/gi-assets-basic,= 2.5.40 || = 2.6.40,npm
@antv/gi-assets-galaxybase,= 1.3.15 || = 1.4.15,npm
@antv/gi-assets-graphscope,= 2.2.15 || = 2.3.15,npm
@antv/gi-assets-hugegraph,= 1.2.15 || = 1.3.15,npm
@antv/gi-assets-janusgraph,= 1.2.15 || = 1.3.15,npm
@antv/gi-assets-neo4j,= 2.2.15 || = 2.3.15,npm
@antv/gi-assets-scene,= 2.3.21 || = 2.4.21,npm
@antv/gi-assets-tugraph,= 2.2.15 || = 2.3.15,npm
@antv/gi-assets-tugraph-analytics,= 0.3.15 || = 0.4.15,npm
@antv/gi-assets-xlab,= 0.2.30 || = 0.3.30,npm
@antv/gi-cli,= 1.3.11 || = 1.4.11,npm
@antv/gi-common-components,= 1.4.16 || = 1.5.16,npm
@antv/gi-mock-data,= 1.1.5 || = 1.2.5,npm
@antv/gi-public-data,= 1.1.1 || = 1.2.1,npm
@antv/gi-sdk,= 3.1.0 || = 3.2.0,npm
@antv/gi-sdk-app,= 1.3.10 || = 1.4.10,npm
@antv/gi-theme-antd,= 0.7.11 || = 0.8.11,npm
@antv/gl-matrix,= 2.8.1 || = 2.9.1,npm
@antv/gpt-vis,= 1.1.0 || = 1.2.0,npm
@antv/gpt-vis-ssr,= 0.4.7 || = 0.5.7,npm
@antv/graphin,= 3.1.5 || = 3.2.5,npm
@antv/graphin-components,= 2.5.1 || = 2.6.1,npm
@antv/graphin-graphscope,= 1.1.5 || = 1.2.5,npm
@antv/graphin-icons,= 1.1.0 || = 1.2.0,npm
@antv/graphlib,= 2.1.4 || = 2.2.4,npm
@antv/hierarchy,= 0.8.1 || = 0.9.1,npm
@antv/infographic,= 0.3.19 || = 0.4.19,npm
@antv/insight-component,= 1.1.0 || = 1.2.0,npm
@antv/interaction,= 0.2.5 || = 0.3.5,npm
@antv/istanbul,= 0.1.0 || = 0.2.0,npm
@antv/knowledge,= 1.2.4 || = 1.3.4,npm
@antv/l7,= 2.26.10 || = 2.27.10,npm
@antv/l7-component,= 2.26.10 || = 2.27.10,npm
@antv/l7-composite-layers,= 0.18.1 || = 0.19.1,npm
@antv/l7-core,= 2.26.10 || = 2.27.10,npm
@antv/l7-district,= 2.4.12 || = 2.5.12,npm
@antv/l7-draw,= 3.2.5 || = 3.3.5,npm
@antv/l7-editor,= 1.2.13 || = 1.3.13,npm
@antv/l7-extension-g-layer,= 1.1.0 || = 1.2.0,npm
@antv/l7-layers,= 2.26.10 || = 2.27.10,npm
@antv/l7-leaflet,= 1.1.2 || = 1.2.2,npm
@antv/l7-map,= 2.26.10 || = 2.27.10,npm
@antv/l7-mapkit,= 0.6.0 || = 0.7.0,npm
@antv/l7-maps,= 2.26.10 || = 2.27.10,npm
@antv/l7-mini,= 2.21.8 || = 2.22.8,npm
@antv/l7-pass,= 1.1.0 || = 1.2.0,npm
@antv/l7-react,= 2.5.3 || = 2.6.3,npm
@antv/l7-renderer,= 2.26.10 || = 2.27.10,npm
@antv/l7-scene,= 2.26.10 || = 2.27.10,npm
@antv/l7-source,= 2.26.10 || = 2.27.10,npm
@antv/l7-three,= 2.26.10 || = 2.27.10,npm
@antv/l7-utils,= 2.26.10 || = 2.27.10,npm
@antv/l7plot,= 0.6.11 || = 0.7.11,npm
@antv/l7plot-component,= 0.1.11 || = 0.2.11,npm
@antv/larkmap,= 1.6.1 || = 1.7.1,npm
@antv/layout-gpu,= 1.2.7 || = 1.3.7,npm
@antv/layout-wasm,= 1.5.2 || = 1.6.2,npm
@antv/li-aiearth-assets,= 0.5.7 || = 0.6.7,npm
@antv/li-analysis-assets,= 1.10.1 || = 1.11.1,npm
@antv/li-core-assets,= 1.4.7 || = 1.5.7,npm
@antv/li-editor,= 1.7.1 || = 1.8.1,npm
@antv/li-p2,= 1.9.2 || = 1.10.2,npm
@antv/li-sam-assets,= 0.1.4 || = 0.2.4 || = 0.3.4,npm
@antv/li-sdk,= 1.6.1 || = 1.7.1,npm
@antv/lite-insight,= 2.2.1 || = 2.3.1,npm
