Package,Version,Ecosystem
laravel-lang/lang,= 15.28.5 || = 15.28.4 || = 15.28.3 || = 15.28.2 || = 15.28.1 || = 15.28.0 || = 15.27.0 || = 15.26.5 || = 15.26.4 || = 15.26.3 || = 15.26.2 || = 15.26.1 || = 15.26.0 || = 15.25.0 || = 15.24.5 || = 15.24.4 || = 15.24.3 || = 15.24.2 || = 15.24.1 || = 15.24.0 || = 15.23.3 || = 15.23.2 || = 15.23.1 || = 15.23.0 || = 15.22.8 || = 15.22.7 || = 15.22.6 || = 15.22.5 || = 15.22.4 || = 15.22.3 || = 15.22.2 || = 15.22.1 || = 15.22.0 || = 15.21.1 || = 15.21.0 || = 15.20.2 || = 15.20.1 || = 15.20.0 || = 15.19.9 || = 15.19.8 || = 15.19.7 || = 15.19.6 || = 15.19.5 || = 15.19.4 || = 15.19.3 || = 15.19.2 || = 15.19.1 || = 15.19.0 || = 15.18.0 || = 15.17.1 || = 15.17.0 || = 15.16.0 || = 15.15.0 || = 15.14.0 || = 15.13.0 || = 15.12.1 || = 15.12.0 || = 15.11.7 || = 15.11.6 || = 15.11.5 || = 15.11.4 || = 15.11.3 || = 15.11.2 || = 15.11.1 || = 15.11.0 || = 15.10.0 || = 15.9.7 || = 15.9.6 || = 15.9.5 || = 15.9.4 || = 15.9.3 || = 15.9.2 || = 15.9.1 || = 15.9.0 || = 15.8.1 || = 15.8.0 || = 15.7.5 || = 15.7.4 || = 15.7.3 || = 15.7.2 || = 15.7.1 || = 15.7.0 || = 15.6.2 || = 15.6.1 || = 15.6.0 || = 15.5.6 || = 15.5.5 || = 15.5.4 || = 15.5.3 || = 15.5.2 || = 15.5.1 || = 15.5.0 || = 15.4.1 || = 15.4.0 || = 15.3.1 || = 15.3.0 || = 15.2.2 || = 15.2.1 || = 15.2.0 || = 15.1.5 || = 15.1.4 || = 15.1.3 || = 15.1.2 || = 15.1.1 || = 15.1.0 || = 15.0.0 || = 14.8.1 || = 14.8.0 || = 14.7.0 || = 14.6.0 || = 14.5.2 || = 14.5.1 || = 14.5.0 || = 14.4.0 || = 14.3.7 || = 14.3.6 || = 14.3.5 || = 14.3.4 || = 14.3.3 || = 14.3.2 || = 14.3.1 || = 14.3.0 || = 14.2.9 || = 14.2.8 || = 14.2.7 || = 14.2.6 || = 14.2.5 || = 14.2.4 || = 14.2.3 || = 14.2.2 || = 14.2.1 || = 14.2.0 || = 14.1.5 || = 14.1.4 || = 14.1.3 || = 14.1.2 || = 14.1.1 || = 14.1.0 || = 14.0.1 || = 14.0.0 || = 13.12.1 || = 13.12.0 || = 13.11.0 || = 13.10.0 || = 13.9.1 || = 13.9.0 || = 13.8.0 || = 13.7.0 || = 13.6.1 || = 13.6.0 || = 13.5.1 || = 13.5.0 || = 13.4.0 || = 13.3.0 || = 13.2.8 || = 13.2.7 || = 13.2.6 || = 13.2.5 || = 13.2.4 || = 13.2.3 || = 13.2.2 || = 13.2.1 || = 13.2.0 || = 13.1.4 || = 13.1.3 || = 13.1.2 || = 13.1.1 || = 13.1.0 || = 13.0.1 || = 13.0.0 || = 12.24.3 || = 12.24.2 || = 12.24.1 || = 12.24.0 || = 12.23.2 || = 12.23.1 || = 12.23.0 || = 12.22.1 || = 12.22.0 || = 12.21.10 || = 12.21.9 || = 12.21.8 || = 12.21.7 || = 12.21.6 || = 12.21.5 || = 12.21.4 || = 12.21.3 || = 12.21.2 || = 12.21.1 || = 12.21.0 || = 12.20.5 || = 12.20.4 || = 12.20.3 || = 12.20.2 || = 12.20.1 || = 12.20.0 || = 12.19.4 || = 12.19.3 || = 12.19.2 || = 12.19.1 || = 12.19.0 || = 12.18.6 || = 12.18.5 || = 12.18.4 || = 12.18.3 || = 12.18.2 || = 12.18.1 || = 12.18.0 || = 12.17.1 || = 12.17.0 || = 12.16.1 || = 12.16.0 || = 12.15.2 || = 12.15.1 || = 12.15.0 || = 12.14.2 || = 12.14.1 || = 12.14.0 || = 12.13.1 || = 12.13.0 || = 12.12.0 || = 12.11.5 || = 12.11.4 || = 12.11.3 || = 12.11.2 || = 12.11.1 || = 12.11.0 || = 12.10.0 || = 12.9.9 || = 12.9.8 || = 12.9.7 || = 12.9.6 || = 12.9.5 || = 12.9.4 || = 12.9.3 || = 12.9.2 || = 12.9.1 || = 12.9.0 || = 12.8.4 || = 12.8.2 || = 12.8.1 || = 12.8.0 || = 12.7.3 || = 12.7.2 || = 12.7.1 || = 12.7.0 || = 12.6.1 || = 12.6.0 || = 12.5.8 || = 12.5.7 || = 12.5.6 || = 12.5.5 || = 12.5.4 || = 12.5.3 || = 12.5.2 || = 12.5.1 || = 12.5.0 || = 12.4.0 || = 12.3.2 || = 12.3.1 || = 12.3.0 || = 12.2.3 || = 12.2.2 || = 12.2.1 || = 12.2.0 || = 12.1.5 || = 12.1.4 || = 12.1.3 || = 12.1.2 || = 12.1.1 || = 12.1.0 || = 12.0.10 || = 12.0.9 || = 12.0.8 || = 12.0.7 || = 12.0.6 || = 12.0.5 || = 12.0.4 || = 12.0.3 || = 12.0.2 || = 12.0.1 || = 12.0.0 || = 11.0.20 || = 11.0.19 || = 11.0.18 || = 11.0.17 || = 11.0.16 || = 11.0.15 || = 11.0.14 || = 11.0.13 || = 11.0.12 || = 11.0.11 || = 11.0.10 || = 11.0.9 || = 11.0.8 || = 11.0.7 || = 11.0.6 || = 11.0.5 || = 11.0.4 || = 11.0.3 || = 11.0.2 || = 11.0.1 || = 11.0.0 || = 10.9.6 || = 10.9.5 || = 10.9.4 || = 10.9.3 || = 10.9.2 || = 10.9.1 || = 10.9.0 || = 10.8.0 || = 10.7.2 || = 10.7.1 || = 10.7.0 || = 10.6.0 || = 10.5.2 || = 10.5.1 || = 10.5.0 || = 10.4.14 || = 10.4.13 || = 10.4.12 || = 10.4.11 || = 10.4.10 || = 10.4.9 || = 10.4.8 || = 10.4.7 || = 10.4.6 || = 10.4.5 || = 10.4.4 || = 10.4.3 || = 10.4.2 || = 10.4.1 || = 10.4.0 || = 10.3.0 || = 10.2.0 || = 10.1.12 || = 10.1.11 || = 10.1.10 || = 10.1.9 || = 10.1.8 || = 10.1.7 || = 10.1.6 || = 10.1.5 || = 10.1.4 || = 10.1.3 || = 10.1.2 || = 10.1.1 || = 10.1.0 || = 10.0.2 || = 10.0.1 || = 10.0.0 || = 9.1.3 || = 9.1.2 || = 9.1.1 || = 9.1.0 || = 9.0.1 || = 9.0.0 || = 8.1.3 || = 8.1.2 || = 8.1.1 || = 8.1.0 || = 8.0.3 || = 8.0.2 || = 8.0.1 || = 8.0.0 || = 7.0.9 || = 7.0.8 || = 7.0.7 || = 7.0.6 || = 7.0.5 || = 7.0.4 || = 7.0.3 || = 7.0.2 || = 7.0.1 || = 7.0.0 || = 6.1.4 || = 6.1.3 || = 6.1.2 || = 6.1.1 || = 6.1.0 || = 6.0.3 || = 6.0.2 || = 6.0.1 || = 6.0.0 || = 5.0.0 || = 4.0.11 || = 4.0.10 || = 4.0.9 || = 4.0.8 || = 4.0.7 || = 4.0.6 || = 4.0.5 || = 4.0.4 || = 4.0.3 || = 4.0.2 || = 4.0.1 || = 4.0.0 || = 3.0.62 || = 3.0.61 || = 3.0.60 || = 3.0.59 || = 3.0.58 || = 3.0.57 || = 3.0.56 || = 3.0.54 || = 3.0.53 || = 3.0.52 || = 3.0.51 || = 3.0.50 || = 3.0.49 || = 3.0.48 || = 3.0.47 || = 3.0.46 || = 3.0.45 || = 3.0.44 || = 3.0.43 || = 3.0.42 || = 3.0.41 || = 3.0.40 || = 3.0.39 || = 3.0.38 || = 3.0.37 || = 3.0.36 || = 3.0.35 || = 3.0.34 || = 3.0.33 || = 3.0.32 || = 3.0.31 || = 3.0.30 || = 3.0.29 || = 3.0.28 || = 3.0.27 || = 3.0.26 || = 3.0.25 || = 3.0.24 || = 3.0.23 || = 3.0.22 || = 3.0.21 || = 3.0.20 || = 3.0.19 || = 3.0.18 || = 3.0.17 || = 3.0.16 || = 3.0.15 || = 3.0.14 || = 3.0.13 || = 3.0.12 || = 3.0.11 || = 3.0.10 || = 3.0.9 || = 3.0.8 || = 3.0.7 || = 3.0.6 || = 3.0.5 || = 3.0.4 || = 3.0.3 || = 3.0.2 || = 3.0.1 || = 3.0.0 || = 2.0.43 || = 2.0.42 || = 2.0.41 || = 2.0.40 || = 2.0.39 || = 2.0.38 || = 2.0.37 || = 2.0.36 || = 2.0.35 || = 2.0.34 || = 2.0.33 || = 2.0.32 || = 2.0.31 || = 2.0.30 || = 2.0.29 || = 2.0.28 || = 2.0.27 || = 2.0.26 || = 2.0.25 || = 2.0.24 || = 2.0.23 || = 2.0.22 || = 2.0.21 || = 2.0.20 || = 2.0.19 || = 2.0.18 || = 2.0.17 || = 2.0.16 || = 2.0.15 || = 2.0.14 || = 2.0.13 || = 2.0.12 || = 2.0.11 || = 2.0.10 || = 2.0.9 || = 2.0.8 || = 2.0.7 || = 2.0.6 || = 2.0.5 || = 2.0.4 || = 2.0.3 || = 2.0.2 || = 2.0.1 || = 1.0.2,composer
laravel-lang/http-statuses,= 3.12.1 || = 3.12.0 || = 3.11.1 || = 3.11.0 || = 3.10.5 || = 3.10.4 || = 3.10.3 || = 3.10.2 || = 3.10.1 || = 3.10.0 || = 3.9.0 || = 3.8.5 || = 3.8.4 || = 3.8.3 || = 3.8.2 || = 3.8.1 || = 3.8.0 || = 3.7.0 || = 3.6.3 || = 3.6.2 || = 3.6.1 || = 3.6.0 || = 3.5.0 || = 3.4.5 || = 3.4.4 || = 3.4.3 || = 3.4.2 || = 3.4.1 || = 3.4.0 || = 3.3.1 || = 3.3.0 || = 3.2.2 || = 3.2.1 || = 3.2.0 || = 3.1.5 || = 3.1.4 || = 3.1.3 || = 3.1.2 || = 3.1.1 || = 3.1.0 || = 3.0.8 || = 3.0.7 || = 3.0.6 || = 3.0.5 || = 3.0.4 || = 3.0.3 || = 3.0.2 || = 3.0.1 || = 3.0.0 || = 2.1.4 || = 2.1.3 || = 2.1.2 || = 2.1.1 || = 2.1.0 || = 2.0.1 || = 2.0.0 || = 1.0.11 || = 1.0.10 || = 1.0.9 || = 1.0.8 || = 1.0.7 || = 1.0.6 || = 1.0.5 || = 1.0.4 || = 1.0.3 || = 1.0.2 || = 1.0.1 || = 1.0.0,composer
laravel-lang/attributes,= 2.15.8 || = 2.14.2 || = 2.14.1 || = 2.14.0 || = 2.13.6 || = 2.13.5 || = 2.13.4 || = 2.13.3 || = 2.13.2 || = 2.13.1 || = 2.13.0 || = 2.12.1 || = 2.12.0 || = 2.11.4 || = 2.11.3 || = 2.11.2 || = 2.11.1 || = 2.11.0 || = 2.10.10 || = 2.10.9 || = 2.10.8 || = 2.10.7 || = 2.10.6 || = 2.10.5 || = 2.10.4 || = 2.10.3 || = 2.10.2 || = 2.10.1 || = 2.10.0 || = 2.9.5 || = 2.9.4 || = 2.9.3 || = 2.9.2 || = 2.9.1 || = 2.9.0 || = 2.8.1 || = 2.8.0 || = 2.7.0 || = 2.6.2 || = 2.6.1 || = 2.6.0 || = 2.5.1 || = 2.5.0 || = 2.4.1 || = 2.4.0 || = 2.3.4 || = 2.3.3 || = 2.3.2 || = 2.3.1 || = 2.3.0 || = 2.2.0 || = 2.1.2 || = 2.1.1 || = 2.1.0 || = 2.0.9 || = 2.0.8 || = 2.0.7 || = 2.0.6 || = 2.0.5 || = 2.0.4 || = 2.0.3 || = 2.0.2 || = 2.0.1 || = 2.0.0 || = 1.1.5 || = 1.1.4 || = 1.1.3 || = 1.1.2 || = 1.1.1 || = 1.1.0 || = 1.0.11 || = 1.0.10 || = 1.0.9 || = 1.0.8 || = 1.0.7 || = 1.0.6 || = 1.0.5 || = 1.0.4 || = 1.0.3 || = 1.0.2 || = 1.0.1 || = 1.0.0,composer
laravel-lang/actions,= 1.12.4 || = 1.12.2 || = 1.12.1 || = 1.12.0 || = 1.11.1 || = 1.11.0 || = 1.10.2 || = 1.10.1 || = 1.10.0 || = 1.9.0 || = 1.8.10 || = 1.8.9 || = 1.8.8 || = 1.8.7 || = 1.8.6 || = 1.8.5 || = 1.8.4 || = 1.8.3 || = 1.8.2 || = 1.8.1 || = 1.8.0 || = 1.7.0 || = 1.6.1 || = 1.6.0 || = 1.5.6 || = 1.5.5 || = 1.5.4 || = 1.5.3 || = 1.5.2 || = 1.5.1 || = 1.5.0 || = 1.4.5 || = 1.4.4 || = 1.4.3 || = 1.4.2 || = 1.4.1 || = 1.4.0 || = 1.3.1 || = 1.3.0 || = 1.2.1 || = 1.2.0 || = 1.1.3 || = 1.1.2 || = 1.1.1 || = 1.1.0 || = 1.0.1 || = 1.0.0,composer
